TR,brand_id,car_height,car_length,car_width,class_id,compartment,cylinder_number,department_id,displacement,driven_type_id,emission_standards_id,engine_torque,equipment_quality,front_track,fuel_type_id,gearbox_type,if_MPV_id,if_charging,if_luxurious_id,level_id,newenergy_type_id,power,price_level,rated_passenger,rear_track,total_quality,type_id,wheelbase,pre_sale_qty_lux,pre_sale_qty_537,pre_sale_qty_637,pre_sale_qty_953,pre_sale_qty_106,pre_sale_qty_872,pre_sale_qty_985,pre_sale_qty_783,pre_sale_qty_814,pre_sale_qty_692,pre_sale_qty_836,pre_sale_qty_638,pre_sale_qty_304,pre_sale_qty_750,pre_sale_qty_923,pre_sale_qty_813,pre_sale_qty_841,pre_sale_qty_SSmDp,pre_sale_qty_SmDpMT,pre_sale_qty_MDpNotMT_x,pre_sale_qty_MDpMT,pre_sale_qty_LDp,pre_sale_qty_1.5Dp,pre_sale_qty_1.4Dp,pre_sale_qty_1.6Dp
6,841,1458.0,4805.0,1860.0,395234,3,4,6,2.3,1,3,230.0,1600.0,1584.0,1,AT,2,L,1,2,1,126.0,15-20W,5,1551.0,2150.0,2,2815.0,,,,,,,,,,,,,,,,,12.116394182443619,,,,,11.60464152932167,,,
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.5,2,1,146.5,1256.0,1420.0,1,MT,1,L,1,3,1,82.0,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,,,,331.698489716053,,,,425.0942043685913,,
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.2,2,1,116.0,1215.0,1420.0,1,MT,1,L,1,3,1,60.3,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,,,71.84120785713195,,,,,,,
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.2,2,1,116.0,1206.0,1420.0,1,MT,1,L,1,3,1,65.0,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,,,43.43929834663868,,,,,,,
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.2,2,1,116.0,1226.0,1420.0,1,MT,1,L,1,3,1,65.0,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,,,72.09753073692322,,,,,,,
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.2,2,3,116.0,1206.0,1420.0,1,MT,1,L,1,3,1,65.0,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,,,45.25789859801531,,,,,,,
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.2,2,3,116.0,1226.0,1420.0,1,MT,1,L,1,3,1,65.0,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,,,72.96841383934022,,,,,,,
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.5,2,1,146.5,1236.0,1420.0,1,MT,1,L,1,3,1,82.0,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,,,,96.58249340102077,,,,86.74952079564333,,
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.5,2,3,146.5,1236.0,1420.0,1,MT,1,L,1,3,1,82.0,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,,,,68.906778306365,,,,34.8941617975384,,
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.5,2,3,146.5,1256.0,1420.0,1,MT,1,L,1,3,1,82.0,5WL,5,1440.0,1825.0,3,2720.0,,,,,,,,,,,,,,,,,,,214.76617037534714,,,,140.98142193108797,,
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,1,1,250.0,1600.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2050.0,1,2684.0,,,,,,,,,,,,,,148.69766025543214,,,,,,142.33633970260618,,,,,
7,750,1673.0,4712.0,1839.0,714152,2,4,4,1.8,1,1,300.0,1615.0,1582.0,1,DCT,2,T,1,1,1,132.0,25-35W,5,1572.0,2085.0,1,2791.0,,,,,,,,,,,,,,27.298709961175923,,,,,,26.20185437917709,,,,,
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,1,3,250.0,1600.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2050.0,1,2684.0,,,,,,,,,,,,,,50.42690076455474,,,,,,64.64650233268739,,,,,
6,750,1665.0,4525.0,1809.0,714152,2,4,4,1.8,1,3,250.0,1580.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,1955.0,1,2684.0,,,,,,,,,,,,,,2.3175390369445084,,,,,,6.2388670610263945,,,,,
6,750,1665.0,4525.0,1809.0,714152,2,4,4,1.8,1,3,250.0,1600.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2050.0,1,2684.0,,,,,,,,,,,,,,28.140834112465377,,,,,,26.8183155117929,,,,,
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,3,1,250.0,1710.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2160.0,1,2684.0,,,,,,,,,,,,,,25.71426812887192,,,,,,22.12544580936432,,,,,
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,3,3,250.0,1710.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2160.0,1,2684.0,,,,,,,,,,,,,,9.90401951611042,,,,,,12.471981606185436,,,,,
6,750,1665.0,4525.0,1809.0,714152,2,4,4,1.8,3,3,250.0,1680.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2055.0,1,2684.0,,,,,,,,,,,,,,3.642123139873147,,,,,,5.342181432321667,,,,,
6,750,1665.0,4525.0,1809.0,714152,2,4,4,1.8,3,3,250.0,1710.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2160.0,1,2684.0,,,,,,,,,,,,,,10.945354971587658,,,,,,11.476092576384545,,,,,
6,750,1685.0,4506.0,1809.0,714152,2,4,4,2.0,3,1,280.0,1720.0,1569.0,1,AT,2,T,1,1,1,147.0,25-35W,5,1571.0,2170.0,1,2684.0,,,,,,,,,,,,,,11.13901493191719,,,,,,10.197657519578934,,,,,
6,750,1685.0,4506.0,1809.0,714152,2,4,4,2.0,3,3,280.0,1720.0,1569.0,1,AT,2,T,1,1,1,147.0,25-35W,5,1571.0,2170.0,1,2684.0,,,,,,,,,,,,,,6.167781760245561,,,,,,6.910413269400596,,,,,
6,750,1665.0,4525.0,1809.0,714152,2,4,4,2.0,3,3,280.0,1705.0,1569.0,1,AT,2,T,1,1,1,147.0,25-35W,5,1571.0,2080.0,1,2684.0,,,,,,,,,,,,,,1.584094279073179,,,,,,2.3789142216742043,,,,,
6,750,1665.0,4525.0,1809.0,714152,2,4,4,2.0,3,3,280.0,1720.0,1569.0,1,AT,2,T,1,1,1,147.0,25-35W,5,1571.0,2170.0,1,2684.0,,,,,,,,,,,,,,6.0727234584093095,,,,,,6.080253382027148,,,,,
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.4,1,1,250.0,1545.0,1569.0,1,DCT,2,T,1,1,1,110.0,25-35W,5,1571.0,1995.0,1,2684.0,,,,,,,,,,,,,,37.07178181350231,,,,,,,,,,43.35336198925972,
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.4,1,1,220.0,1500.0,1569.0,1,MT,2,T,1,1,1,96.0,15-20W,5,1571.0,1950.0,1,2684.0,,,,,,,,,,,,,,0.1908123542368412,,,,,0.20640924159437415,,,,,0.3156977136805654,
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.4,1,1,220.0,1500.0,1569.0,1,MT,2,T,1,1,1,96.0,25-35W,5,1571.0,1950.0,1,2684.0,,,,,,,,,,,,,,0.21767452418804167,,,,,0.2156773518025875,,,,,0.34547503862529994,
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.4,1,3,220.0,1500.0,1569.0,1,MT,2,T,1,1,1,96.0,25-35W,5,1571.0,1950.0,1,2684.0,,,,,,,,,,,,,,0.19867129530757666,,,,,0.20816372554749246,,,,,0.3498779102414846,
6,750,1665.0,4525.0,1809.0,714152,2,4,4,1.4,1,3,220.0,1480.0,1569.0,1,MT,2,T,1,1,1,96.0,25-35W,5,1571.0,1930.0,1,2684.0,,,,,,,,,,,,,,0.7395505256205798,,,,,0.6718831076472997,,,,,0.6531647709757089,
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,1,1,250.0,1520.0,1569.0,1,MT,2,T,1,1,1,118.0,15-20W,5,1571.0,1970.0,1,2684.0,,,,,,,,,,,,,,1.2825774010270834,,,,,,,0.7689804400503636,,,,
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,1,1,250.0,1520.0,1569.0,1,MT,2,T,1,1,1,118.0,25-35W,5,1571.0,1970.0,1,2684.0,,,,,,,,,,,,,,2.198479360714555,,,,,,,1.6653525821119546,,,,
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,1,3,250.0,1520.0,1569.0,1,MT,2,T,1,1,1,118.0,25-35W,5,1571.0,1970.0,1,2684.0,,,,,,,,,,,,,,0.982834934592247,,,,,,,1.0294568998739124,,,,
6,750,1665.0,4525.0,1809.0,714152,2,4,4,1.8,1,3,250.0,1510.0,1569.0,1,MT,2,T,1,1,1,118.0,25-35W,5,1571.0,1960.0,1,2684.0,,,,,,,,,,,,,,4.33009504944086,,,,,,,4.008433459252118,,,,
7,750,1673.0,4712.0,1839.0,714152,2,4,4,2.0,3,1,350.0,1755.0,1582.0,1,DCT,2,T,1,1,1,162.0,25-35W,5,1572.0,2225.0,1,2791.0,,,,,,,,,,,,,,2.379193654581905,,,,,,3.0428767546266315,,,,,
5,290,1745.0,4710.0,1785.0,739296,2,4,7,1.8,1,1,186.0,1435.0,1530.0,1,AMT,2,L,1,3,1,101.0,5-8W,7,1525.0,1920.0,3,2750.0,,,,,,,,,,,,,,,,,,,,23.73904172092676,,,,,
5,290,1755.0,4780.0,1820.0,739296,2,4,7,1.8,1,1,186.0,1465.0,1546.0,1,AMT,2,L,1,3,1,101.0,5-8W,7,1541.0,1920.0,3,2750.0,,,,,,,,,,,,,,,,,,,,8.680610392987727,,,,,
5,290,1715.0,4710.0,1785.0,739296,2,4,7,1.5,1,1,146.5,1435.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,7,1525.0,1920.0,3,2750.0,,,,,,,,,,,,,,,,,,,210.8397612380981,,,,278.6250736618042,,
6,290,1745.0,4710.0,1785.0,739296,2,4,7,1.5,1,1,230.0,1460.0,1530.0,1,MT,2,T,1,3,1,110.0,5-8W,7,1525.0,1955.0,3,2750.0,,,,,,,,,,,,,,,,,,,89.65388744473458,,,,106.81060691833495,,
6,290,1730.0,4780.0,1820.0,739296,2,4,7,1.5,1,1,230.0,1500.0,1546.0,1,MT,2,T,1,3,1,110.0,5-8W,7,1541.0,1955.0,3,2750.0,,,,,,,,,,,,,,,,,,,19.097818826287984,,,,65.19697550296783,,
5,290,1715.0,4685.0,1785.0,739296,2,4,7,1.5,1,1,146.5,1360.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,5,1525.0,1900.0,3,2750.0,,,,,,,,,,,,,,,,,,,12.908923670537767,,,,8.272133991941809,,
5,290,1715.0,4685.0,1785.0,739296,2,4,7,1.5,1,1,146.5,1370.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,5,1525.0,1920.0,3,2750.0,,,,,,,,,,,,,,,,,,,12.09862585503608,,,,6.110833924487232,,
5,290,1715.0,4685.0,1785.0,739296,2,4,7,1.5,1,1,146.5,1400.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,5,1525.0,1920.0,3,2750.0,,,,,,,,,,,,,,,,,,,23.333951976150274,,,,9.773361272662877,,
5,290,1715.0,4685.0,1785.0,739296,2,4,7,1.5,1,1,146.5,1435.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,5,1525.0,1920.0,3,2750.0,,,,,,,,,,,,,,,,,,,45.12878400146961,,,,40.5551797311008,,
5,290,1715.0,4710.0,1785.0,739296,2,4,7,1.5,1,1,146.5,1370.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,7,1525.0,1920.0,3,2750.0,,,,,,,,,,,,,,,,,,,54.409920545518396,,,,25.61121518872678,,
5,290,1715.0,4710.0,1785.0,739296,2,4,7,1.5,1,1,146.5,1400.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,7,1525.0,1920.0,3,2750.0,,,,,,,,,,,,,,,,,,,77.12381500326097,,,,38.87491458810865,,
5,290,1715.0,4685.0,1785.0,739296,2,4,7,1.5,1,3,146.5,1380.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,5,1525.0,1900.0,3,2750.0,,,,,,,,,,,,,,,,,,,257.36033687859776,,,,70.73784876920283,,
5,290,1715.0,4685.0,1785.0,739296,2,4,7,1.5,1,3,146.5,1435.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,5,1525.0,1920.0,3,2750.0,,,,,,,,,,,,,,,,,,,46.50635329373181,,,,14.231727044656873,,
5,290,1735.0,4685.0,1785.0,739296,2,4,7,1.5,1,3,146.5,1350.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,5,1525.0,1900.0,3,2750.0,,,,,,,,,,,,,,,,,,,24.37983001533896,,,,7.548331825733185,,
5,290,1715.0,4710.0,1785.0,739296,2,4,7,1.5,1,3,146.5,1435.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,7,1525.0,1920.0,3,2750.0,,,,,,,,,,,,,,,,,,,87.58878764629364,,,,62.79878063321114,,
5,290,1745.0,4685.0,1785.0,739296,2,4,7,1.8,1,1,186.0,1410.0,1530.0,1,MT,2,L,1,3,1,101.0,5-8W,5,1525.0,1900.0,3,2750.0,,,,,,,,,,,,,,,,,,,,,4.431544985249639,,,,
5,290,1745.0,4710.0,1785.0,739296,2,4,7,1.8,1,1,186.0,1435.0,1530.0,1,MT,2,L,1,3,1,101.0,5-8W,7,1525.0,1920.0,3,2750.0,,,,,,,,,,,,,,,,,,,,,2.458226204738021,,,,
5,290,1745.0,4710.0,1785.0,739296,2,4,7,1.8,1,1,186.0,1435.0,1530.0,1,MT,2,L,1,3,1,101.0,8-10W,7,1525.0,1920.0,3,2750.0,,,,,,,,,,,,,,,,,,,,,2.9552239417284727,,,,
5,290,1745.0,4685.0,1785.0,739296,2,4,7,1.8,1,3,186.0,1380.0,1530.0,1,MT,2,L,1,3,1,101.0,5-8W,5,1525.0,1900.0,3,2750.0,,,,,,,,,,,,,,,,,,,,,23.129125688672065,,,,
5,290,1745.0,4685.0,1785.0,739296,2,4,7,1.8,1,3,186.0,1380.0,1530.0,1,MT,2,L,1,3,1,101.0,8-10W,5,1525.0,1900.0,3,2750.0,,,,,,,,,,,,,,,,,,,,,8.211898528635501,,,,
5,290,1745.0,4710.0,1785.0,739296,2,4,7,1.8,1,3,186.0,1435.0,1530.0,1,MT,2,L,1,3,1,101.0,5-8W,7,1525.0,1920.0,3,2750.0,,,,,,,,,,,,,,,,,,,,,7.917000798135996,,,,
5,290,1745.0,4710.0,1785.0,739296,2,4,7,1.8,1,3,186.0,1435.0,1530.0,1,MT,2,L,1,3,1,101.0,8-10W,7,1525.0,1920.0,3,2750.0,,,,,,,,,,,,,,,,,,,,,3.9967656241357328,,,,
6,290,1715.0,4710.0,1785.0,739296,2,4,7,1.5,1,1,146.5,1435.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,7,1525.0,1920.0,3,2750.0,,,,,,,,,,,,,,,,,,,92.34473702430724,,,,64.32233558803797,,
6,290,1745.0,4710.0,1785.0,739296,2,4,7,1.5,1,1,230.0,1460.0,1530.0,1,MT,2,T,1,3,1,110.0,8-10W,7,1525.0,1955.0,3,2750.0,,,,,,,,,,,,,,,,,,,25.70498277187348,,,,23.24472690694034,,
6,290,1745.0,4710.0,1785.0,739296,2,4,7,1.8,1,1,186.0,1435.0,1530.0,1,MT,2,L,1,3,1,101.0,5-8W,7,1525.0,1920.0,3,2750.0,,,,,,,,,,,,,,,,,,,,,1.5321187429502607,,,,
