,class_id,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price_level,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track,predict_sale_quantity
37004,265980,783,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,1,1,1,78,4,135,4420,1685,1850,1970,1335,5,2750,1425,1435,0.103299256
61456,580470,750,3,2,1,4,5,MT,1.4,T,10-15W,1,1,1,1,2,1,96,4,220,4523,1775,1467,1810,1325,5,2610,1517,1493,0.108766283
37005,265980,783,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,1,1,1,78,4,135,4420,1685,1850,1970,1370,5,2750,1425,1435,0.111174054
37352,198427,12,3,2,1,1,5,MT,1.5,L,5-8W,1,1,1,3,2,1,78,4,142,4602,1725,1485,1610,1200,5,2602,1482,1462,0.114891839
60188,739296,290,2,3,3,7,5,MT,1.5,L,5-8W,1,1,1,1,2,1,82,4,146.5,4685,1785,1715,1920,1370,5,2750,1530,1525,0.131032693
48749,360648,106,2,2,3,5,5,MT,1.3,L,8-10W,1,1,1,1,2,1,73,4,123,4115,1700,1485,1500,1030,5,2550,1470,1470,0.142026723
81812,651347,537,2,2,3,5,5,MT,1.5,L,8-10W,1,1,1,3,2,1,88,4,145,3900,1695,1525,1510,1095,5,2500,1490,1475,0.145103881
12814,628041,750,2,2,1,4,5,MT,1.4,T,15-20W,1,1,1,1,2,1,110,4,250,4255,1799,1452,1780,1295,5,2637,1549,1520,0.152821149
26628,409854,638,2,1,1,1,6,MT,1.5,T,10-15W,3,1,1,3,2,1,110,4,210,4640,1825,1690,2098,1588,5,2680,1565,1565,0.159730714
52953,425432,750,3,2,1,4,5,MT,1.4,T,10-15W,1,1,1,3,2,1,96,4,220,4608,1743,1465,1680,1305,5,2610,1517,1493,0.182206115
42579,321683,750,3,2,1,4,5,MT,1.4,T,15-20W,1,1,1,1,2,1,96,4,220,4644,1778,1482,1840,1350,5,2651,1535,1532,0.195954949
12816,628041,750,2,2,1,4,5,MT,1.4,T,15-20W,1,1,1,3,2,1,96,4,225,4255,1799,1452,1740,1260,5,2637,1549,1520,0.21994348
54984,914348,750,3,2,3,4,5,MT,1.4,L,10-15W,1,1,1,3,2,1,63,4,130,4176,1650,1465,1495,1120,5,2465,1435,1425,0.240491961
48751,360648,106,2,2,3,5,5,MT,1.3,L,8-10W,1,1,1,3,2,1,73,4,123,4115,1700,1485,1500,1030,5,2550,1470,1470,0.242377222
24436,587678,537,2,1,3,5,6,MT,1.5,L,15-20W,1,1,1,3,2,1,96,4,155,4294,1772,1605,1770,1200,5,2610,1535,1540,0.275722741
26629,409854,638,2,1,1,1,6,MT,1.5,T,10-15W,3,1,1,3,2,1,110,4,210,4649,1852,1710,2106,1596,5,2680,1565,1565,0.276153155
13420,281792,872,2,2,1,4,5,MT,1.4,T,25-35W,1,1,1,1,2,2,110,4,250,4319,1785,1441,1770,1320,5,2629,1539,1509,0.291763157
37353,198427,12,3,2,1,1,5,MT,1.5,L,5-8W,1,1,1,3,2,1,80,4,140,4602,1725,1485,1620,1210,5,2602,1482,1462,0.301038607
68791,219195,638,2,1,3,1,6,MT,1.5,T,10-15W,3,1,1,3,2,1,110,4,210,4335,1814,1695,1990,1575,5,2560,1525,1520,0.301551228
12815,628041,750,2,2,1,4,5,MT,1.4,T,15-20W,1,1,1,3,2,1,96,4,220,4199,1786,1479,1760,1330,5,2578,1540,1513,0.303142719
40862,281301,750,3,2,2,4,5,MT,1.4,T,25-35W,1,1,1,1,2,1,96,4,220,4870,1834,1472,1975,1435,5,2803,1577,1550,0.311765217
52951,425432,750,3,2,1,4,5,MT,1.4,T,10-15W,1,1,1,1,2,1,96,4,225,4605,1765,1460,1795,1285,5,2610,1517,1493,0.337547339
35156,475895,750,2,2,1,4,5,MT,1.4,T,10-15W,1,1,1,1,2,1,96,4,225,4559,1793,1487,1810,1335,5,2614,1518,1525,0.353035714
52954,425432,750,3,2,1,4,5,MT,1.4,T,10-15W,1,1,1,3,2,1,96,4,225,4605,1765,1460,1795,1285,5,2610,1517,1493,0.39723597
6247,349023,450,3,2,1,2,6,MT,1.4,T,10-15W,1,1,1,1,2,1,110,4,235,4567,1786,1458,1700,1245,5,2662,1540,1558,0.399078873
27669,308913,750,2,2,1,4,5,MT,1.4,T,15-20W,1,1,1,1,2,1,96,4,225,4445,1765,1485,1790,1280,5,2610,1517,1493,0.453968255
84112,654134,290,2,1,1,7,6,MT,1.5,T,8-10W,1,1,1,1,2,1,110,4,230,4670,1810,1755,2000,1545,5,2750,1554,1549,0.52333334
60195,739296,290,2,3,3,7,5,MT,1.5,L,5-8W,1,1,1,3,2,1,82,4,146.5,4685,1785,1735,1900,1350,5,2750,1530,1525,0.534289052
56986,905745,761,2,1,3,2,6,MT,1.4,T,10-15W,1,1,1,1,2,1,103,4,200,4278,1774,1646,1815,1395,5,2555,1540,1540,0.641420603
12812,628041,750,2,2,1,4,5,MT,1.4,T,15-20W,1,1,1,1,2,1,96,4,225,4255,1799,1452,1740,1260,5,2637,1549,1520,0.64453093
37007,265980,783,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,3,1,1,78,4,135,4420,1685,1850,1970,1370,5,2750,1425,1435,0.65851772
13425,281792,872,3,2,1,4,5,MT,1.4,T,25-35W,1,1,1,1,2,2,110,4,250,4462,1796,1421,1770,1320,5,2629,1552,1520,0.75306677
60191,739296,290,2,3,3,7,5,MT,1.5,L,5-8W,1,1,1,1,2,1,82,4,146.5,4710,1785,1715,1920,1370,7,2750,1530,1525,0.758332751
40864,281301,750,3,2,2,4,5,MT,1.4,T,25-35W,1,1,1,3,2,1,96,4,220,4870,1834,1472,1975,1435,5,2803,1577,1550,0.82694724
37000,265980,783,2,3,3,1,5,MT,1.3,L,5-8W,2,1,1,1,1,1,68,4,120,4360,1685,1820,1835,1220,5,2750,1425,1435,0.899277255
81813,651347,537,2,2,3,5,5,MT,1.5,L,8-10W,1,1,1,3,2,1,96,4,155,4065,1695,1525,1470,1058,5,2530,1480,1465,0.917113491
13585,378356,497,3,2,1,1,5,MT,1.5,T,8-10W,1,1,1,1,2,1,108,4,210,4572,1825,1482,1710,1335,5,2670,1556,1542,0.91857639
28090,289386,813,2,2,1,5,6,MT,1.5,L,10-15W,1,1,1,1,2,1,86,4,148,4461,1795,1474,1770,1266,5,2700,1555,1560,0.988215642
75142,978089,12,2,2,1,1,6,MT,1.3,T,5-8W,1,1,1,1,2,1,98,4,185,4425,1789,1470,1652,1277,5,2650,1502,1492,0.998579185
81809,651347,537,2,2,3,5,5,MT,1.3,L,8-10W,1,1,1,3,2,1,73,4,127,3900,1695,1525,1510,1060,5,2500,1490,1475,1.007924161
46049,961962,750,3,2,1,4,5,MT,1.4,L,8-10W,1,1,1,3,2,1,66,4,132,4487,1706,1470,1600,1120,5,2603,1460,1500,1.023259623
56990,905745,761,2,1,3,2,6,MT,1.4,T,10-15W,1,1,1,3,2,1,105,4,200,4278,1774,1646,1815,1395,5,2555,1540,1540,1.079425812
9210,789290,106,3,2,3,5,5,MT,1.3,L,8-10W,1,1,1,1,2,1,73,4,123,4440,1700,1490,1500,1045,5,2550,1470,1470,1.357333341
54963,914348,750,2,2,3,4,5,MT,1.4,L,10-15W,1,1,1,1,2,1,63,4,132,3970,1682,1462,1572,1092,5,2470,1463,1456,1.382168448
52950,425432,750,3,2,1,4,5,MT,1.4,T,10-15W,1,1,1,1,2,1,96,4,225,4605,1765,1460,1780,1270,5,2610,1517,1493,1.384914218
80623,175962,750,3,2,1,4,5,MT,1.4,L,10-15W,1,1,1,3,2,1,66,4,132,4473,1706,1469,1580,1100,5,2603,1460,1500,1.438415239
83564,302513,864,2,1,3,1,6,MT,1.5,T,5-8W,1,1,1,1,2,1,115,4,215,4354,1840,1654,1725,1350,5,2610,1585,1586,1.568305559
56987,905745,761,2,1,3,2,6,MT,1.4,T,10-15W,1,1,1,1,2,1,103,4,200,4278,1774,1646,1815,1405,5,2555,1540,1540,1.590885289
31351,621073,98,2,3,3,1,5,MT,1.5,L,5WL,2,1,1,1,1,1,82,4,146.5,4400,1680,1750,1825,1215,5,2720,1420,1440,1.677181702
80620,175962,750,3,2,1,4,5,MT,1.4,L,10-15W,1,1,1,1,2,1,66,4,132,4473,1706,1469,1580,1100,5,2603,1460,1500,1.716096278
2126,576298,304,2,3,2,1,5,MT,1.5,L,5-8W,2,1,1,3,2,1,82,4,130,4645,1695,1940,2050,1435,7,2800,1445,1420,1.75374629
54965,914348,750,2,2,3,4,5,MT,1.4,L,10-15W,1,1,1,3,2,1,63,4,132,3970,1682,1462,1572,1092,5,2470,1463,1456,1.791393578
37002,265980,783,2,3,3,1,5,MT,1.3,L,5-8W,2,1,1,3,1,1,68,4,120,4360,1685,1820,1835,1220,5,2750,1425,1435,1.940607568
34597,350259,750,3,2,1,4,5,MT,1.4,T,15-20W,1,1,1,1,2,1,96,4,225,4598,1826,1425,1800,1300,5,2656,1580,1554,2.005507153
60187,739296,290,2,3,3,7,5,MT,1.5,L,5-8W,1,1,1,1,2,1,82,4,146.5,4685,1785,1715,1900,1360,5,2750,1530,1525,2.007258734
60189,739296,290,2,3,3,7,5,MT,1.5,L,5-8W,1,1,1,1,2,1,82,4,146.5,4685,1785,1715,1920,1400,5,2750,1530,1525,2.029101567
34598,350259,750,3,2,1,4,5,MT,1.4,T,15-20W,1,1,1,1,2,1,110,4,250,4598,1826,1425,1840,1340,5,2656,1580,1554,2.172909648
6238,349023,450,3,2,1,2,5,MT,1.5,L,10-15W,1,1,1,1,2,1,84,4,146,4567,1786,1456,1700,1195,5,2662,1540,1558,2.248519818
37001,265980,783,2,3,3,1,5,MT,1.3,L,5-8W,2,1,1,1,1,1,68,4,120,4360,1685,1820,1835,1235,5,2750,1425,1435,2.524297034
42583,321683,750,3,2,1,4,5,MT,1.4,T,15-20W,1,1,1,3,2,1,96,4,220,4644,1778,1482,1840,1350,5,2651,1535,1532,2.546271999
68785,219195,638,2,1,3,1,6,MT,1.5,T,10-15W,1,1,1,1,2,1,110,4,210,4335,1814,1695,1870,1495,5,2560,1525,1520,2.696398196
12813,628041,750,2,2,1,4,5,MT,1.4,T,10-15W,1,1,1,1,2,1,110,4,250,4255,1799,1452,1780,1295,5,2637,1549,1520,3.10617113
69878,671482,637,2,1,3,2,5,MT,1.5,L,10-15W,1,1,1,1,2,1,81,4,140,4280,1785,1658,1620,1245,5,2530,1527,1533,3.151209159
40863,281301,750,3,2,2,4,5,MT,1.4,T,25-35W,1,1,1,1,2,1,110,4,250,4872,1834,1484,1975,1455,5,2803,1577,1550,3.294588583
56989,905745,761,2,1,3,2,6,MT,1.4,T,10-15W,1,1,1,1,2,1,105,4,205,4278,1781,1648,1815,1405,5,2555,1540,1540,3.327662586
61457,580470,750,3,2,1,4,5,MT,1.4,T,10-15W,1,1,1,1,2,1,96,4,225,4562,1793,1468,1765,1285,5,2614,1518,1525,3.554528159
73192,714152,750,2,1,1,4,6,MT,1.4,T,15-20W,1,1,1,1,2,1,96,4,220,4506,1809,1685,1950,1500,5,2684,1569,1571,3.570693945
23103,560265,923,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,1,1,1,78,4,145,4440,1700,1783,1790,1270,5,2790,1420,1440,3.678825267
75143,978089,12,2,2,1,1,6,MT,1.3,T,8-10W,1,1,1,1,2,1,98,4,185,4425,1789,1470,1652,1277,5,2650,1502,1492,3.685917763
80624,175962,750,3,2,1,4,5,MT,1.4,L,8-10W,1,1,1,3,2,1,66,4,132,4473,1706,1469,1580,1100,5,2603,1460,1500,3.710883438
75148,978089,12,3,2,1,1,6,MT,1.3,T,8-10W,1,1,1,1,2,1,98,4,185,4631,1789,1470,1697,1322,5,2650,1502,1492,3.774813197
48748,360648,106,2,2,3,5,5,MT,1.3,L,5-8W,1,1,1,1,2,1,73,4,123,4115,1700,1485,1500,1030,5,2550,1470,1470,4.169004222
68944,245609,750,2,2,1,4,5,MT,1.4,T,15-20W,1,1,1,1,2,1,96,4,225,4348,1807,1574,1850,1395,5,2680,1549,1521,4.349969001
12811,628041,750,2,2,1,4,5,MT,1.4,T,10-15W,1,1,1,1,2,1,96,4,225,4255,1799,1452,1740,1260,5,2637,1549,1520,4.441320096
31358,621073,98,2,3,3,1,5,MT,1.5,L,5WL,2,1,1,3,1,1,82,4,146.5,4400,1680,1770,1825,1290,5,2720,1420,1440,4.458224183
24435,587678,537,2,1,3,5,6,MT,1.5,L,15-20W,1,1,1,1,2,1,96,4,155,4294,1772,1605,1770,1200,5,2610,1535,1540,4.675671273
75147,978089,12,3,2,1,1,6,MT,1.3,T,5-8W,1,1,1,1,2,1,98,4,185,4631,1789,1470,1697,1322,5,2650,1502,1492,4.778327382
60194,739296,290,2,3,3,7,5,MT,1.5,L,5-8W,1,1,1,3,2,1,82,4,146.5,4685,1785,1715,1920,1435,5,2750,1530,1525,4.948341432
23102,560265,923,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,1,1,1,75,4,135,4440,1700,1783,1790,1270,5,2790,1420,1440,5.477810626
23105,560265,923,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,3,1,1,78,4,145,4440,1700,1783,1790,1270,5,2790,1420,1440,5.645412717
23104,560265,923,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,3,1,1,75,4,135,4440,1700,1783,1790,1270,5,2790,1420,1440,5.849942379
83345,248352,831,2,2,3,3,5,MT,1.4,L,8-10W,1,1,1,1,2,1,78.7,4,135,4120,1700,1460,1460,1043,5,2570,1511,1515,6.04773857
23662,810398,750,2,2,1,4,5,MT,1.4,L,10-15W,1,1,1,1,2,1,66,4,132,4282,1706,1475,1595,1115,5,2603,1460,1500,6.051239249
83347,248352,831,2,2,3,3,5,MT,1.4,L,8-10W,1,1,1,3,2,1,78.7,4,135,4120,1700,1460,1460,1043,5,2570,1511,1515,6.264080375
37003,265980,783,2,3,3,1,5,MT,1.3,L,5-8W,2,1,1,3,1,1,68,4,120,4360,1685,1820,1835,1235,5,2750,1425,1435,6.554566043
2127,576298,304,2,3,2,1,5,MT,1.5,L,5-8W,2,1,1,3,2,1,82,4,130,4645,1695,1940,2080,1480,7,2800,1445,1420,6.95999157
9211,789290,106,3,2,3,5,5,MT,1.5,L,8-10W,1,1,1,1,2,1,79,4,140,4440,1700,1490,1500,1070,5,2550,1460,1460,7.295333334
6239,349023,450,3,2,1,2,5,MT,1.5,L,10-15W,1,1,1,1,2,1,84,4,146,4567,1786,1456,1700,1225,5,2662,1540,1558,7.560884933
83346,248352,831,2,2,3,3,5,MT,1.4,L,5-8W,1,1,1,3,2,1,78.7,4,135,4120,1700,1460,1460,1043,5,2570,1511,1515,7.952822047
26624,409854,638,2,1,1,1,6,MT,1.5,T,10-15W,1,1,1,3,2,1,110,4,210,4649,1852,1710,2059,1549,5,2680,1565,1565,8.396700895
26619,409854,638,2,1,1,1,6,MT,1.5,T,10-15W,1,1,1,1,2,1,110,4,210,4640,1825,1690,2051,1541,5,2680,1565,1565,8.410083379
43032,270690,98,2,3,3,1,5,MT,1.5,L,5WL,2,1,1,3,1,1,82,4,146.5,4415,1685,1850,1825,1236,5,2720,1420,1440,8.836045011
75658,516750,98,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,3,1,1,82,4,146.5,4500,1721,1715,1825,1260,5,2720,1430,1450,9.21168736
8682,417803,692,2,1,3,5,5,MT,1.5,L,10-15W,1,1,1,1,2,1,91,4,147,4295,1760,1588,1520,1122,5,2620,1520,1535,9.43319743
68789,219195,638,2,1,3,1,6,MT,1.5,T,10-15W,1,1,1,3,2,1,110,4,210,4335,1814,1695,1910,1495,5,2560,1525,1520,9.513240184
46048,961962,750,3,2,1,4,5,MT,1.4,L,8-10W,1,1,1,1,2,1,66,4,132,4501,1704,1469,1610,1120,5,2604,1460,1500,10.35000447
83563,302513,864,2,1,3,1,5,MT,1.5,L,5-8W,1,1,1,1,2,1,88,4,143,4354,1840,1654,1705,1330,5,2610,1585,1586,11.69438691
31355,621073,98,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,3,1,1,82,4,146.5,4400,1680,1750,1825,1215,5,2720,1420,1440,12.41824474
46047,961962,750,3,2,1,4,5,MT,1.4,L,8-10W,1,1,1,1,2,1,66,4,132,4487,1706,1470,1600,1120,5,2603,1460,1500,13.20735604
60192,739296,290,2,3,3,7,5,MT,1.5,L,5-8W,1,1,1,1,2,1,82,4,146.5,4710,1785,1715,1920,1400,7,2750,1530,1525,13.61505222
68790,219195,638,2,1,3,1,6,MT,1.5,T,8-10W,1,1,1,3,2,1,110,4,210,4335,1814,1695,1910,1495,5,2560,1525,1520,13.71578786
26623,409854,638,2,1,1,1,6,MT,1.5,T,10-15W,1,1,1,3,2,1,110,4,210,4640,1825,1690,2051,1541,5,2680,1565,1565,14.03929141
83344,248352,831,2,2,3,3,5,MT,1.4,L,5-8W,1,1,1,1,2,1,78.7,4,135,4120,1700,1460,1460,1043,5,2570,1511,1515,14.19560345
80621,175962,750,3,2,1,4,5,MT,1.4,L,8-10W,1,1,1,1,2,1,66,4,132,4473,1706,1469,1580,1100,5,2603,1460,1500,14.74907677
81811,651347,537,2,2,3,5,5,MT,1.5,L,8-10W,1,1,1,1,2,1,96,4,155,4065,1695,1525,1470,1058,5,2530,1480,1465,14.89632558
68457,683364,236,2,1,1,1,6,MT,1.5,T,10-15W,1,1,1,1,2,1,110,4,210,4451,1845,1675,1880,1440,5,2670,1540,1540,15.17497023
68943,245609,750,2,2,1,4,5,MT,1.4,T,10-15W,1,1,1,1,2,1,96,4,225,4348,1807,1574,1850,1395,5,2680,1549,1521,15.6521364
42581,321683,750,3,2,1,4,5,MT,1.4,T,15-20W,1,1,1,1,2,1,96,4,225,4655,1780,1453,1820,1360,5,2651,1535,1532,16.2358743
56988,905745,761,2,1,3,2,6,MT,1.4,T,10-15W,1,1,1,1,2,1,103,4,200,4278,1781,1648,1815,1405,5,2555,1540,1540,16.39315381
43386,416749,537,2,1,3,5,6,MT,1.5,L,10-15W,1,1,1,1,2,1,96,4,155,4270,1772,1605,1775,1197,5,2610,1540,1530,16.52754288
2125,576298,304,2,3,2,1,5,MT,1.5,L,5-8W,2,1,1,1,2,1,85,4,143,4715,1720,1940,2050,1450,7,2800,1445,1420,16.589023
26621,409854,638,2,1,1,1,6,MT,1.5,T,10-15W,1,1,1,1,2,1,110,4,210,4649,1852,1710,2059,1549,5,2680,1565,1565,18.22016761
80622,175962,750,3,2,1,4,5,MT,1.4,L,10-15W,1,1,1,1,2,1,66,4,132,4475,1706,1469,1595,1115,5,2603,1460,1500,18.25921719
24434,587678,537,2,1,3,5,6,MT,1.5,L,10-15W,1,1,1,1,2,1,96,4,155,4294,1772,1605,1770,1200,5,2610,1535,1540,18.70668888
4741,854548,126,2,1,3,1,5,MT,1.5,L,10-15W,1,1,1,1,2,1,88,4,150,4314,1809,1624,1630,1198,5,2585,1526,1536,20.90152457
75657,516750,98,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,1,1,1,82,4,146.5,4500,1721,1715,1825,1260,5,2720,1430,1450,21.6221083
67352,861459,498,3,2,1,1,6,MT,1.5,T,10-15W,1,1,1,1,2,1,124,4,250,4671,1835,1464,1710,1260,5,2715,1562,1571,21.95365477
81810,651347,537,2,2,3,5,5,MT,1.5,L,5-8W,1,1,1,1,2,1,96,4,155,4065,1695,1525,1470,1058,5,2530,1480,1465,22.18227163
43031,270690,98,2,3,3,1,5,MT,1.5,L,5WL,2,1,1,1,1,1,82,4,146.5,4415,1685,1850,1825,1236,5,2720,1420,1440,22.30415931
42580,321683,750,3,2,1,4,5,MT,1.4,T,10-15W,1,1,1,1,2,1,96,4,225,4655,1780,1453,1820,1360,5,2651,1535,1532,22.38058678
31353,621073,98,2,3,3,1,5,MT,1.5,L,5WL,2,1,1,1,1,1,82,4,146.5,4400,1680,1770,1825,1290,5,2720,1420,1440,22.66905752
69879,671482,637,2,1,3,2,5,MT,1.5,L,10-15W,1,1,1,1,2,1,83,4,140,4280,1785,1658,1620,1245,5,2530,1527,1533,22.75241442
28093,289386,813,3,2,1,5,6,MT,1.5,L,10-15W,1,1,1,1,2,1,86,4,148,4582,1795,1458,1770,1259,5,2700,1555,1560,23.54243669
21042,379265,290,2,2,3,7,6,MT,1.5,L,5WL,1,1,1,1,2,1,82,4,146.5,4032,1680,1470,1380,1055,5,2550,1488,1478,26.5832361
46050,961962,750,3,2,1,4,5,MT,1.5,L,8-10W,1,1,1,1,2,1,81,4,150,4501,1704,1469,1610,1115,5,2604,1460,1500,27.6513897
80850,289403,12,2,1,1,1,6,MT,1.3,T,8-10W,1,1,1,1,2,1,95,4,185,4440,1833,1545,1735,1360,5,2700,1556,1562,29.81512499
37006,265980,783,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,3,1,1,78,4,135,4360,1685,1820,1925,1325,5,2750,1425,1435,29.87738015
31350,621073,98,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,1,1,1,82,4,146.5,4400,1680,1750,1825,1215,5,2720,1420,1440,30.17655623
45226,569154,638,2,1,3,1,6,MT,1.5,T,8-10W,1,1,1,1,2,1,110,4,210,4146,1772,1617,1840,1391,5,2550,1531,1524,30.42554598
36306,713651,537,3,2,1,5,6,MT,1.5,T,10-15W,1,1,1,1,2,1,130,4,226,4649,1800,1416,1730,1275,5,2700,1547,1563,30.75969473
60196,739296,290,2,3,3,7,5,MT,1.5,L,5-8W,1,1,1,3,2,1,82,4,146.5,4710,1785,1715,1920,1435,7,2750,1530,1525,30.79413657
45227,569154,638,2,1,3,1,6,MT,1.5,T,8-10W,1,1,1,1,2,1,110,4,210,4195,1772,1617,1840,1391,5,2550,1531,1524,31.09261739
60193,739296,290,2,3,3,7,5,MT,1.5,L,5-8W,1,1,1,3,2,1,82,4,146.5,4685,1785,1715,1900,1380,5,2750,1530,1525,31.40324075
23106,560265,923,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,3,1,1,85,4,150,4440,1700,1783,1790,1270,5,2790,1420,1440,33.81678728
68788,219195,638,2,1,3,1,6,MT,1.5,T,10-15W,1,1,1,1,2,1,110,4,210,4365,1814,1695,1941,1541,5,2560,1525,1520,36.11129761
83357,248352,831,3,2,3,3,5,MT,1.4,L,8-10W,1,1,1,3,2,1,78.7,4,135,4370,1700,1460,1460,1039,5,2570,1511,1515,36.3965042
2124,576298,304,2,3,2,1,5,MT,1.5,L,5-8W,2,1,1,1,2,1,82,4,140,4680,1695,1940,2080,1480,7,2800,1445,1420,36.67633602
84111,654134,290,2,1,1,7,6,MT,1.5,T,8-10W,1,1,1,1,2,1,110,4,230,4620,1820,1755,1900,1460,5,2750,1554,1549,36.91431323
60190,739296,290,2,3,3,7,5,MT,1.5,L,5-8W,1,1,1,1,2,1,82,4,146.5,4685,1785,1715,1920,1435,5,2750,1530,1525,40.03976016
3476,612523,783,2,1,1,1,6,MT,1.5,T,8-10W,1,1,1,1,2,1,115,4,225,4500,1855,1690,1865,1490,5,2650,1590,1595,40.53350921
31356,621073,98,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,3,1,1,82,4,146.5,4400,1680,1750,1825,1245,5,2720,1420,1440,43.47014836
3449,736094,783,2,3,3,1,5,MT,1.5,L,5-8W,1,1,1,3,2,1,84,4,148,4465,1725,1685,1820,1295,5,2680,1460,1470,45.04837981
44293,412240,783,2,1,2,1,6,MT,1.5,T,8-10W,2,1,1,1,2,1,110,4,230,4705,1800,1750,2070,1545,7,2780,1495,1505,46.39385612
48264,693436,12,3,2,1,1,6,MT,1.3,T,10-15W,1,1,1,1,2,1,95,4,185,4725,1802,1478,1735,1360,5,2700,1551,1546,47.46187703
31359,621073,98,2,3,3,1,5,MT,1.5,L,5-8W,2,1,1,3,1,1,82,4,146.5,4400,1680,1770,1825,1305,5,2720,1420,1440,48.4016132
60204,739296,290,2,3,3,7,6,MT,1.5,L,5-8W,1,1,1,1,2,1,82,4,146.5,4710,1785,1715,1920,1435,7,2750,1530,1525,51.24861311
1,340175,638,2,1,1,1,6,MT,1.5,T,8-10W,1,1,1,1,2,1,110,4,210,4649,1830,1705,2090,1580,5,2680,1565,1565,53.13966668
