TR,brand_id,car_height,car_length,car_width,class_id,compartment,cylinder_number,department_id,displacement,driven_type_id,emission_standards_id,engine_torque,equipment_quality,front_track,fuel_type_id,gearbox_type,if_MPV_id,if_charging,if_luxurious_id,level_id,newenergy_type_id,power,price_level,rated_passenger,rear_track,total_quality,type_id,wheelbase,pre_sale_qty_Full
6,450,1455.0,4567.0,1786.0,349023,3,4,2,1.5,1,1,146.0,1260.0,1540.0,1,AT,2,L,1,1,1,84.0,10-15W,5,1558.0,1700.0,2,2662.0,65.89101827144623
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,155.0,1390.0,1544.0,1,AT,2,L,1,1,1,89.0,10-15W,5,1558.0,1800.0,2,2685.0,184.04078052043914
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.8,1,3,177.0,1425.0,1544.0,1,AT,2,L,1,1,1,105.0,10-15W,5,1558.0,1835.0,2,2685.0,12.877551116347313
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.8,1,3,177.0,1410.0,1544.0,1,AT,2,L,1,1,1,108.0,10-15W,5,1558.0,1820.0,2,2685.0,69.37429940707982
6,450,1458.0,4567.0,1786.0,349023,3,4,2,1.4,1,1,235.0,1245.0,1540.0,1,MT,2,T,1,1,1,110.0,10-15W,5,1558.0,1700.0,2,2662.0,1.7335807748138905
6,450,1460.0,4666.0,1807.0,349023,3,4,2,1.5,1,1,146.0,1240.0,1541.0,1,MT,2,L,1,1,1,84.0,10-15W,5,1561.0,1670.0,2,2700.0,41.759810488224026
6,450,1477.0,4598.0,1797.0,349023,3,4,2,1.6,1,3,235.0,1450.0,1544.0,1,MT,2,T,1,1,1,135.0,10-15W,5,1558.0,1860.0,2,2685.0,1.516720724515617
7,450,1454.0,4567.0,1786.0,349023,3,4,2,1.4,1,1,235.0,1300.0,1540.0,1,DCT,2,T,1,1,1,110.0,10-15W,5,1558.0,1700.0,2,2662.0,6.273468800932169
7,450,1460.0,4666.0,1807.0,349023,3,4,2,1.4,1,1,240.0,1310.0,1541.0,1,DCT,2,T,1,1,1,110.0,10-15W,5,1561.0,1740.0,2,2700.0,3.2720286525040865
0,692,1465.0,4683.0,1780.0,492952,3,4,5,1.6,1,1,154.0,1242.0,1530.0,1,CVT,2,L,1,1,1,93.0,10-15W,5,1530.0,1670.0,2,2700.0,105.27136340141294
0,692,1465.0,4683.0,1780.0,492952,3,4,5,1.6,1,1,154.0,1228.0,1540.0,1,CVT,2,L,1,1,1,93.0,10-15W,5,1540.0,1670.0,2,2700.0,52.56857488632202
0,692,1465.0,4683.0,1780.0,492952,3,4,5,1.6,1,1,154.0,1260.0,1530.0,1,CVT,2,L,1,1,1,93.0,10-15W,5,1530.0,1670.0,2,2700.0,55.05078505754471
5,692,1465.0,4683.0,1780.0,492952,3,4,5,1.6,1,1,154.0,1195.0,1540.0,1,MT,2,L,1,1,1,93.0,10-15W,5,1540.0,1620.0,2,2700.0,10.121342644840476
5,692,1465.0,4683.0,1780.0,492952,3,4,5,1.6,1,1,154.0,1203.0,1540.0,1,MT,2,L,1,1,1,93.0,10-15W,5,1540.0,1620.0,2,2700.0,12.73818278670311
6,841,1480.0,4825.0,1860.0,395234,3,4,6,1.6,1,1,245.0,1580.0,1590.0,1,AT,2,T,1,2,1,123.0,15-20W,5,1572.0,1984.0,2,2815.0,18.24879771947861
10,841,1458.0,4805.0,1860.0,395234,3,4,6,2.0,1,3,200.0,1510.0,1584.0,1,MTAT,2,L,1,2,1,108.0,15-20W,5,1551.0,2038.0,2,2815.0,1.367846286762506
5,841,1458.0,4805.0,1860.0,395234,3,4,6,2.0,1,1,200.0,1510.0,1584.0,1,MT,2,L,1,2,1,108.0,15-20W,5,1551.0,2038.0,2,2815.0,1.6368579845316709
5,841,1458.0,4805.0,1860.0,395234,3,4,6,2.0,1,3,200.0,1510.0,1584.0,1,MT,2,L,1,2,1,108.0,15-20W,5,1551.0,2038.0,2,2815.0,1.2970313379354774
6,841,1458.0,4805.0,1860.0,395234,3,4,6,1.6,1,1,245.0,1580.0,1584.0,1,AT,2,T,1,2,1,123.0,15-20W,5,1551.0,2101.0,2,2815.0,6.212447799965738
6,841,1458.0,4805.0,1860.0,395234,3,4,6,1.6,1,1,245.0,1580.0,1584.0,1,AT,2,T,1,2,1,123.0,20-25W,5,1551.0,2101.0,2,2815.0,4.910687834098934
6,841,1458.0,4805.0,1860.0,395234,3,4,6,1.8,1,1,280.0,1615.0,1584.0,1,AT,2,T,1,2,1,150.0,15-20W,5,1551.0,2098.0,2,2815.0,2.18628680665046
6,841,1458.0,4805.0,1860.0,395234,3,4,6,1.8,1,1,280.0,1615.0,1584.0,1,AT,2,T,1,2,1,150.0,20-25W,5,1551.0,2098.0,2,2815.0,1.9582056419178844
6,841,1480.0,4825.0,1860.0,395234,3,4,6,1.8,1,1,280.0,1615.0,1590.0,1,AT,2,T,1,2,1,150.0,15-20W,5,1572.0,2027.0,2,2815.0,4.177024141997099
6,841,1458.0,4805.0,1860.0,395234,3,4,6,2.0,1,1,200.0,1580.0,1584.0,1,AT,2,L,1,2,1,108.0,15-20W,5,1551.0,2065.0,2,2815.0,17.159970854222774
6,841,1458.0,4805.0,1860.0,395234,3,4,6,2.0,1,3,200.0,1580.0,1584.0,1,AT,2,L,1,2,1,108.0,15-20W,5,1551.0,2065.0,2,2815.0,20.10673322595656
6,841,1458.0,4805.0,1860.0,395234,3,4,6,2.3,1,1,230.0,1600.0,1584.0,1,AT,2,L,1,2,1,126.0,15-20W,5,1551.0,2150.0,2,2815.0,4.018833236657083
6,841,1458.0,4805.0,1860.0,395234,3,4,6,2.3,1,3,230.0,1600.0,1584.0,1,AT,2,L,1,2,1,126.0,15-20W,5,1551.0,2150.0,2,2815.0,6.626782709173857
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.5,2,1,146.5,1256.0,1420.0,1,MT,1,L,1,3,1,82.0,5WL,5,1440.0,1825.0,3,2720.0,287.11819187164315
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.2,2,1,116.0,1215.0,1420.0,1,MT,1,L,1,3,1,60.3,5WL,5,1440.0,1825.0,3,2720.0,74.57779670715333
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.2,2,1,116.0,1206.0,1420.0,1,MT,1,L,1,3,1,65.0,5WL,5,1440.0,1825.0,3,2720.0,36.82106903031468
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.2,2,1,116.0,1226.0,1420.0,1,MT,1,L,1,3,1,65.0,5WL,5,1440.0,1825.0,3,2720.0,51.08352048128843
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.2,2,3,116.0,1206.0,1420.0,1,MT,1,L,1,3,1,65.0,5WL,5,1440.0,1825.0,3,2720.0,32.65627486810088
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.2,2,3,116.0,1226.0,1420.0,1,MT,1,L,1,3,1,65.0,5WL,5,1440.0,1825.0,3,2720.0,46.86254992336035
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.5,2,1,146.5,1236.0,1420.0,1,MT,1,L,1,3,1,82.0,5WL,5,1440.0,1825.0,3,2720.0,117.81604204505682
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.5,2,3,146.5,1236.0,1420.0,1,MT,1,L,1,3,1,82.0,5WL,5,1440.0,1825.0,3,2720.0,72.01831544697285
5,98,1850.0,4415.0,1685.0,270690,2,4,1,1.5,2,3,146.5,1256.0,1420.0,1,MT,1,L,1,3,1,82.0,5WL,5,1440.0,1825.0,3,2720.0,170.78705784589053
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,1,1,250.0,1600.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2050.0,1,2684.0,133.75772561073302
7,750,1673.0,4712.0,1839.0,714152,2,4,4,1.8,1,1,300.0,1615.0,1582.0,1,DCT,2,T,1,1,1,132.0,25-35W,5,1572.0,2085.0,1,2791.0,118.90987522125243
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,1,3,250.0,1600.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2050.0,1,2684.0,45.58168226758018
6,750,1665.0,4525.0,1809.0,714152,2,4,4,1.8,1,3,250.0,1580.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,1955.0,1,2684.0,7.780644895061852
6,750,1665.0,4525.0,1809.0,714152,2,4,4,1.8,1,3,250.0,1600.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2050.0,1,2684.0,31.00665036605671
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,3,1,250.0,1710.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2160.0,1,2684.0,25.40536670938134
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,3,3,250.0,1710.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2160.0,1,2684.0,8.365751622039825
6,750,1665.0,4525.0,1809.0,714152,2,4,4,1.8,3,3,250.0,1680.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2055.0,1,2684.0,3.4796073669381435
6,750,1665.0,4525.0,1809.0,714152,2,4,4,1.8,3,3,250.0,1710.0,1569.0,1,AT,2,T,1,1,1,118.0,25-35W,5,1571.0,2160.0,1,2684.0,8.120619931425901
6,750,1685.0,4506.0,1809.0,714152,2,4,4,2.0,3,1,280.0,1720.0,1569.0,1,AT,2,T,1,1,1,147.0,25-35W,5,1571.0,2170.0,1,2684.0,8.579728239923716
6,750,1685.0,4506.0,1809.0,714152,2,4,4,2.0,3,3,280.0,1720.0,1569.0,1,AT,2,T,1,1,1,147.0,25-35W,5,1571.0,2170.0,1,2684.0,5.047114162612706
6,750,1665.0,4525.0,1809.0,714152,2,4,4,2.0,3,3,280.0,1705.0,1569.0,1,AT,2,T,1,1,1,147.0,25-35W,5,1571.0,2080.0,1,2684.0,1.9436549315415323
6,750,1665.0,4525.0,1809.0,714152,2,4,4,2.0,3,3,280.0,1720.0,1569.0,1,AT,2,T,1,1,1,147.0,25-35W,5,1571.0,2170.0,1,2684.0,4.418258673902602
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.4,1,1,250.0,1545.0,1569.0,1,DCT,2,T,1,1,1,110.0,25-35W,5,1571.0,1995.0,1,2684.0,49.861451473236095
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.4,1,1,220.0,1500.0,1569.0,1,MT,2,T,1,1,1,96.0,15-20W,5,1571.0,1950.0,1,2684.0,0.95311238899827
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.4,1,1,220.0,1500.0,1569.0,1,MT,2,T,1,1,1,96.0,25-35W,5,1571.0,1950.0,1,2684.0,1.4298988203145564
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.4,1,3,220.0,1500.0,1569.0,1,MT,2,T,1,1,1,96.0,25-35W,5,1571.0,1950.0,1,2684.0,0.4257628874108195
6,750,1665.0,4525.0,1809.0,714152,2,4,4,1.4,1,3,220.0,1480.0,1569.0,1,MT,2,T,1,1,1,96.0,25-35W,5,1571.0,1930.0,1,2684.0,0.6508079834654927
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,1,1,250.0,1520.0,1569.0,1,MT,2,T,1,1,1,118.0,15-20W,5,1571.0,1970.0,1,2684.0,1.650344353541732
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,1,1,250.0,1520.0,1569.0,1,MT,2,T,1,1,1,118.0,25-35W,5,1571.0,1970.0,1,2684.0,3.2478163938596847
6,750,1685.0,4506.0,1809.0,714152,2,4,4,1.8,1,3,250.0,1520.0,1569.0,1,MT,2,T,1,1,1,118.0,25-35W,5,1571.0,1970.0,1,2684.0,1.5845108363963665
6,750,1665.0,4525.0,1809.0,714152,2,4,4,1.8,1,3,250.0,1510.0,1569.0,1,MT,2,T,1,1,1,118.0,25-35W,5,1571.0,1960.0,1,2684.0,1.5444738397188484
7,750,1673.0,4712.0,1839.0,714152,2,4,4,2.0,3,1,350.0,1755.0,1582.0,1,DCT,2,T,1,1,1,162.0,25-35W,5,1572.0,2225.0,1,2791.0,10.745310891270638
5,290,1745.0,4710.0,1785.0,739296,2,4,7,1.8,1,1,186.0,1435.0,1530.0,1,AMT,2,L,1,3,1,101.0,5-8W,7,1525.0,1920.0,3,2750.0,33.74634291648865
5,290,1755.0,4780.0,1820.0,739296,2,4,7,1.8,1,1,186.0,1465.0,1546.0,1,AMT,2,L,1,3,1,101.0,5-8W,7,1541.0,1920.0,3,2750.0,24.453853073120122
5,290,1715.0,4710.0,1785.0,739296,2,4,7,1.5,1,1,146.5,1435.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,7,1525.0,1920.0,3,2750.0,157.75569522857666
6,290,1745.0,4710.0,1785.0,739296,2,4,7,1.5,1,1,230.0,1460.0,1530.0,1,MT,2,T,1,3,1,110.0,5-8W,7,1525.0,1955.0,3,2750.0,83.72296411514282
6,290,1730.0,4780.0,1820.0,739296,2,4,7,1.5,1,1,230.0,1500.0,1546.0,1,MT,2,T,1,3,1,110.0,5-8W,7,1541.0,1955.0,3,2750.0,49.51552421569824
5,290,1715.0,4685.0,1785.0,739296,2,4,7,1.5,1,1,146.5,1360.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,5,1525.0,1900.0,3,2750.0,17.10216050200164
5,290,1715.0,4685.0,1785.0,739296,2,4,7,1.5,1,1,146.5,1370.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,5,1525.0,1920.0,3,2750.0,17.768833485394715
5,290,1715.0,4685.0,1785.0,739296,2,4,7,1.5,1,1,146.5,1400.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,5,1525.0,1920.0,3,2750.0,22.37884828343988
5,290,1715.0,4685.0,1785.0,739296,2,4,7,1.5,1,1,146.5,1435.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,5,1525.0,1920.0,3,2750.0,44.69340849209578
5,290,1715.0,4710.0,1785.0,739296,2,4,7,1.5,1,1,146.5,1370.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,7,1525.0,1920.0,3,2750.0,48.8060119625181
5,290,1715.0,4710.0,1785.0,739296,2,4,7,1.5,1,1,146.5,1400.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,7,1525.0,1920.0,3,2750.0,59.480953059867026
5,290,1715.0,4685.0,1785.0,739296,2,4,7,1.5,1,3,146.5,1380.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,5,1525.0,1900.0,3,2750.0,79.83392526026816
5,290,1715.0,4685.0,1785.0,739296,2,4,7,1.5,1,3,146.5,1435.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,5,1525.0,1920.0,3,2750.0,28.382675539664927
5,290,1735.0,4685.0,1785.0,739296,2,4,7,1.5,1,3,146.5,1350.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,5,1525.0,1900.0,3,2750.0,15.870159885846078
5,290,1715.0,4710.0,1785.0,739296,2,4,7,1.5,1,3,146.5,1435.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,7,1525.0,1920.0,3,2750.0,63.089726191163074
5,290,1745.0,4685.0,1785.0,739296,2,4,7,1.8,1,1,186.0,1410.0,1530.0,1,MT,2,L,1,3,1,101.0,5-8W,5,1525.0,1900.0,3,2750.0,5.690995132364331
5,290,1745.0,4710.0,1785.0,739296,2,4,7,1.8,1,1,186.0,1435.0,1530.0,1,MT,2,L,1,3,1,101.0,5-8W,7,1525.0,1920.0,3,2750.0,7.338197029456496
5,290,1745.0,4710.0,1785.0,739296,2,4,7,1.8,1,1,186.0,1435.0,1530.0,1,MT,2,L,1,3,1,101.0,8-10W,7,1525.0,1920.0,3,2750.0,4.132673946097493
5,290,1745.0,4685.0,1785.0,739296,2,4,7,1.8,1,3,186.0,1380.0,1530.0,1,MT,2,L,1,3,1,101.0,5-8W,5,1525.0,1900.0,3,2750.0,17.133756196536122
5,290,1745.0,4685.0,1785.0,739296,2,4,7,1.8,1,3,186.0,1380.0,1530.0,1,MT,2,L,1,3,1,101.0,8-10W,5,1525.0,1900.0,3,2750.0,6.3948919463157665
5,290,1745.0,4710.0,1785.0,739296,2,4,7,1.8,1,3,186.0,1435.0,1530.0,1,MT,2,L,1,3,1,101.0,5-8W,7,1525.0,1920.0,3,2750.0,6.018479760400951
5,290,1745.0,4710.0,1785.0,739296,2,4,7,1.8,1,3,186.0,1435.0,1530.0,1,MT,2,L,1,3,1,101.0,8-10W,7,1525.0,1920.0,3,2750.0,3.5945916548743844
6,290,1715.0,4710.0,1785.0,739296,2,4,7,1.5,1,1,146.5,1435.0,1530.0,1,MT,2,L,1,3,1,82.0,5-8W,7,1525.0,1920.0,3,2750.0,66.37672343134881
6,290,1745.0,4710.0,1785.0,739296,2,4,7,1.5,1,1,230.0,1460.0,1530.0,1,MT,2,T,1,3,1,110.0,8-10W,7,1525.0,1955.0,3,2750.0,27.489400460273032
6,290,1745.0,4710.0,1785.0,739296,2,4,7,1.8,1,1,186.0,1435.0,1530.0,1,MT,2,L,1,3,1,101.0,5-8W,7,1525.0,1920.0,3,2750.0,3.988858452253044
6,290,1745.0,4710.0,1785.0,739296,2,4,7,1.8,1,1,186.0,1435.0,1530.0,1,MT,2,L,1,3,1,101.0,8-10W,7,1525.0,1920.0,3,2750.0,2.706598460674286
6,831,1445.0,4600.0,1780.0,347384,3,4,3,1.6,1,1,155.5,1290.0,1555.0,1,AT,2,L,1,1,1,93.8,10-15W,5,1568.0,1720.0,2,2700.0,697.6676379776001
6,831,1445.0,4600.0,1780.0,347384,3,4,3,1.6,1,1,155.5,1235.0,1555.0,1,MT,2,L,1,1,1,93.8,10-15W,5,1568.0,1700.0,2,2700.0,172.72880486488341
6,831,1445.0,4600.0,1780.0,347384,3,4,3,1.6,1,1,155.5,1260.0,1555.0,1,AT,2,L,1,1,1,93.8,10-15W,5,1568.0,1720.0,2,2700.0,262.9504525829852
6,831,1445.0,4600.0,1780.0,347384,3,4,3,1.6,1,1,155.5,1280.0,1555.0,1,AT,2,L,1,1,1,93.8,10-15W,5,1568.0,1720.0,2,2700.0,378.5788320370018
6,831,1445.0,4600.0,1780.0,347384,3,4,3,1.6,1,3,155.5,1260.0,1555.0,1,AT,2,L,1,1,1,93.8,10-15W,5,1568.0,1720.0,2,2700.0,279.30214430853727
6,831,1445.0,4600.0,1780.0,347384,3,4,3,1.6,1,3,155.5,1280.0,1555.0,1,AT,2,L,1,1,1,93.8,10-15W,5,1568.0,1720.0,2,2700.0,435.6949559633434
6,831,1445.0,4600.0,1780.0,347384,3,4,3,1.8,1,1,175.0,1321.0,1555.0,1,AT,2,L,1,1,1,107.0,10-15W,5,1568.0,1740.0,2,2700.0,7.247404016852379
6,831,1445.0,4600.0,1780.0,347384,3,4,3,1.8,1,3,175.0,1321.0,1555.0,1,AT,2,L,1,1,1,107.0,10-15W,5,1568.0,1740.0,2,2700.0,9.40991004317999
6,831,1445.0,4600.0,1780.0,347384,3,4,3,1.6,1,1,155.5,1210.0,1555.0,1,MT,2,L,1,1,1,93.8,10-15W,5,1568.0,1700.0,2,2700.0,109.9647344751656
6,831,1445.0,4600.0,1780.0,347384,3,4,3,1.6,1,1,155.5,1230.0,1555.0,1,MT,2,L,1,1,1,93.8,10-15W,5,1568.0,1700.0,2,2700.0,122.3286808860302
6,831,1445.0,4600.0,1780.0,347384,3,4,3,1.6,1,3,155.5,1210.0,1555.0,1,MT,2,L,1,1,1,93.8,10-15W,5,1568.0,1700.0,2,2700.0,156.72948011755943
6,831,1445.0,4600.0,1780.0,347384,3,4,3,1.6,1,3,155.5,1230.0,1555.0,1,MT,2,L,1,1,1,93.8,10-15W,5,1568.0,1700.0,2,2700.0,172.03771718740464
7,831,1445.0,4600.0,1780.0,347384,3,4,3,1.4,1,1,210.8,1315.0,1555.0,1,DCT,2,T,1,1,1,95.6,10-15W,5,1568.0,1740.0,2,2700.0,7.424713002145292
6,12,1694.0,4519.0,1831.0,540712,2,4,1,1.8,1,1,285.0,1670.0,1560.0,1,AT,2,T,1,1,1,135.0,15-20W,5,1550.0,2045.0,1,2670.0,119.15065559387207
6,12,1694.0,4519.0,1831.0,540712,2,4,1,1.8,1,1,285.0,1670.0,1560.0,1,AT,2,T,1,1,1,135.0,10-15W,5,1550.0,2045.0,1,2670.0,61.36717796802521
6,12,1694.0,4519.0,1831.0,540712,2,4,1,1.8,3,1,285.0,1700.0,1560.0,1,AT,2,T,1,1,1,135.0,15-20W,5,1550.0,2075.0,1,2670.0,15.338603064417839
6,12,1694.0,4519.0,1831.0,540712,2,4,1,1.8,3,1,285.0,1745.0,1560.0,1,AT,2,T,1,1,1,135.0,15-20W,5,1550.0,2120.0,1,2670.0,9.097002660632132
6,12,1694.0,4519.0,1831.0,540712,2,4,1,1.8,1,1,250.0,1610.0,1560.0,1,MT,2,T,1,1,1,120.0,10-15W,5,1550.0,1985.0,1,2670.0,4.597912973314524
6,12,1694.0,4519.0,1831.0,540712,2,4,1,1.8,1,1,250.0,1610.0,1560.0,1,MT,2,T,1,1,1,120.0,15-20W,5,1550.0,1985.0,1,2670.0,4.794163995832204
6,12,1694.0,4519.0,1831.0,540712,2,4,1,2.0,1,1,178.0,1550.0,1560.0,1,MT,2,L,1,1,1,104.0,15-20W,5,1550.0,1925.0,1,2670.0,43.49051569700241
6,12,1694.0,4519.0,1831.0,540712,2,4,1,2.0,1,1,178.0,1565.0,1560.0,1,MT,2,L,1,1,1,104.0,15-20W,5,1550.0,1940.0,1,2670.0,18.439722184836864
5,98,1820.0,3797.0,1510.0,178529,1,4,1,1.2,2,1,115.0,965.0,1290.0,1,MT,2,L,1,3,1,60.3,5WL,7,1290.0,1575.0,4,2500.0,52.88147695302963
5,98,1820.0,3797.0,1510.0,178529,1,4,1,1.0,2,1,90.0,930.0,1290.0,1,MT,2,L,1,3,1,50.0,5WL,7,1290.0,1575.0,4,2500.0,8.538052060864866
5,98,1820.0,3797.0,1510.0,178529,1,4,1,1.0,2,1,90.0,950.0,1290.0,1,MT,2,L,1,3,1,50.0,5WL,7,1290.0,1575.0,4,2500.0,10.115307177081704
5,98,1860.0,3730.0,1510.0,178529,1,4,1,1.0,2,3,85.0,985.0,1280.0,1,MT,2,L,1,3,1,45.0,5WL,7,1290.0,1550.0,4,2500.0,160.32853122070432
5,98,1820.0,3797.0,1510.0,178529,1,4,1,1.0,2,3,85.0,925.0,1290.0,1,MT,2,L,1,3,1,45.0,5WL,7,1290.0,1575.0,4,2500.0,27.18657233074308
5,98,1820.0,3797.0,1510.0,178529,1,4,1,1.0,2,3,85.0,945.0,1290.0,1,MT,2,L,1,3,1,45.0,5WL,7,1290.0,1575.0,4,2500.0,34.190673710405825
5,98,1820.0,3810.0,1510.0,178529,1,4,1,1.0,2,3,85.0,930.0,1290.0,1,MT,2,L,1,3,1,45.0,5WL,7,1290.0,1575.0,4,2500.0,26.86939210250973
5,98,1820.0,3810.0,1510.0,178529,1,4,1,1.0,2,3,85.0,950.0,1290.0,1,MT,2,L,1,3,1,45.0,5WL,7,1290.0,1575.0,4,2500.0,30.98201698422432
5,98,1860.0,3885.0,1600.0,178529,1,4,1,1.0,2,3,85.0,1015.0,1290.0,1,MT,2,L,1,3,1,45.0,5WL,7,1290.0,1620.0,4,2500.0,12.437487949281929
5,98,1860.0,3995.0,1510.0,178529,1,4,1,1.0,2,3,85.0,1020.0,1280.0,1,MT,2,L,1,3,1,45.0,5WL,7,1290.0,1780.0,4,2750.0,8.906015861183404
5,98,1860.0,3885.0,1600.0,178529,1,4,1,1.0,2,3,90.0,1000.0,1290.0,1,MT,2,L,1,3,1,50.0,5WL,7,1290.0,1620.0,4,2500.0,9.329358330070972
5,98,1860.0,3885.0,1600.0,178529,1,4,1,1.1,2,3,103.0,1000.0,1290.0,1,MT,2,L,1,3,1,60.0,5WL,7,1290.0,1620.0,4,2500.0,3.006641835644841
5,98,1820.0,3797.0,1510.0,178529,1,4,1,1.2,2,1,115.0,940.0,1290.0,1,MT,2,L,1,3,1,60.3,5WL,5,1290.0,1575.0,4,2500.0,13.981499497927725
5,98,1820.0,3797.0,1510.0,178529,1,4,1,1.2,2,1,115.0,940.0,1290.0,1,MT,2,L,1,3,1,60.3,5WL,7,1290.0,1575.0,4,2500.0,23.981012647114696
