,class_id,sale_quantity,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price_level,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track,year,month,sale_predict
1032,392593,31.0,497,2,1,1,1,6,DCT,1.5,T,10-15W,1,1,1,1,2,1,108.0,4,210.0,4470.0,1837.0,1670.0,1815.0,1440.0,5,2670.0,1550.0,1550.0,2017,9,29.353125236034394
1033,392593,123.0,497,2,1,1,1,0,CVT,2.0,L,10-15W,1,1,1,1,2,1,90.0,4,180.0,4470.0,1837.0,1670.0,1807.0,1432.0,5,2670.0,1550.0,1550.0,2017,9,86.25408933639527
1034,392593,85.0,497,2,1,1,1,6,MT,1.5,T,10-15W,1,1,1,1,2,1,112.0,4,205.0,4470.0,1837.0,1670.0,1765.0,1390.0,5,2670.0,1550.0,1550.0,2017,9,77.47864669799804
1057,501564,19.0,807,2,1,2,1,6,AT,2.0,T,15-20W,3,1,1,1,2,1,148.0,4,320.0,4810.0,1910.0,1770.0,2515.0,1990.0,7,2800.0,1630.0,1632.0,2017,9,5.457287687063217
1058,501564,233.0,807,2,1,2,1,6,AT,2.0,T,15-20W,1,1,1,1,2,1,148.0,4,320.0,4810.0,1910.0,1770.0,2515.0,1870.0,7,2800.0,1630.0,1632.0,2017,9,91.40147033691406
1387,124140,165.0,783,2,1,1,1,6,AT,1.5,T,10-15W,1,1,1,1,2,1,125.0,4,230.0,4650.0,1850.0,1695.0,2050.0,1665.0,5,2700.0,1565.0,1565.0,2017,9,113.24528730869294
1388,124140,120.0,783,2,1,1,1,6,MT,1.5,T,10-15W,1,1,1,1,2,1,125.0,4,230.0,4650.0,1850.0,1695.0,2040.0,1626.0,5,2700.0,1565.0,1565.0,2017,9,70.8218108558655
1389,124140,0.0,783,2,1,1,1,6,AT,1.8,T,10-15W,1,1,1,1,2,1,130.0,4,230.0,4650.0,1850.0,1695.0,2075.0,1665.0,5,2700.0,1565.0,1565.0,2017,9,99.76469955444335
1390,124140,0.0,783,2,1,1,1,6,AT,1.8,T,10-15W,1,1,1,3,2,1,130.0,4,230.0,4650.0,1850.0,1695.0,2075.0,1665.0,5,2700.0,1565.0,1565.0,2017,9,8.475725876688957
1391,124140,0.0,783,2,1,1,1,6,AT,1.8,T,10-15W,3,1,1,1,2,1,130.0,4,245.0,4650.0,1850.0,1695.0,2185.0,1771.0,5,2700.0,1565.0,1565.0,2017,9,0.6655864866077901
1392,124140,0.0,783,2,1,1,1,6,AT,1.8,T,10-15W,3,1,1,3,2,1,130.0,4,245.0,4650.0,1850.0,1695.0,2185.0,1771.0,5,2700.0,1565.0,1565.0,2017,9,0.08982820689678192
1393,124140,0.0,783,2,1,1,1,6,MT,2.0,L,10-15W,1,1,1,1,2,1,116.0,4,200.0,4650.0,1850.0,1695.0,2050.0,1640.0,5,2700.0,1565.0,1565.0,2017,9,15.278590030670163
1394,124140,0.0,783,2,1,1,1,6,MT,2.0,L,10-15W,1,1,1,3,2,1,116.0,4,200.0,4650.0,1850.0,1695.0,2050.0,1640.0,5,2700.0,1565.0,1565.0,2017,9,8.279606850147248
1461,924154,846.0,637,3,2,1,2,6,AT,1.5,L,10-15W,1,1,1,1,2,1,85.0,4,142.0,4587.0,1825.0,1490.0,1675.0,1300.0,5,2687.0,1562.0,1548.0,2017,9,800.9996804809572
1462,924154,164.0,637,3,2,1,2,5,MT,1.5,L,10-15W,1,1,1,1,2,1,85.0,4,142.0,4587.0,1825.0,1490.0,1630.0,1255.0,5,2687.0,1562.0,1548.0,2017,9,272.7719493103027
3188,354068,147.0,692,3,2,1,5,4,AT,1.6,L,10-15W,1,1,1,1,2,1,86.0,4,153.0,4665.0,1700.0,1505.0,1660.0,1200.0,5,2700.0,1480.0,1485.0,2017,9,51.95790474414825
3189,354068,120.0,692,3,2,1,5,5,MT,1.6,L,10-15W,1,1,1,1,2,1,86.0,4,153.0,4665.0,1700.0,1505.0,1660.0,1180.0,5,2700.0,1480.0,1485.0,2017,9,66.4855735874176
3190,354068,37.0,692,3,2,1,5,5,MT,1.6,L,10-15W,1,1,1,1,2,1,93.0,4,154.0,4631.0,1760.0,1503.0,1630.0,1204.0,5,2700.0,1540.0,1540.0,2017,9,42.73242889881134
3191,354068,616.0,692,3,2,1,5,0,CVT,1.6,L,10-15W,1,1,1,1,2,1,93.0,4,154.0,4631.0,1760.0,1503.0,1650.0,1236.0,5,2700.0,1540.0,1540.0,2017,9,605.2993997955323
3192,354068,0.0,692,3,2,1,5,0,CVT,1.6,L,10-15W,1,1,1,1,2,1,93.0,4,154.0,4610.0,1760.0,1495.0,1660.0,1237.0,5,2700.0,1540.0,1540.0,2017,9,3.0771465015411383
3193,354068,0.0,692,3,2,1,5,0,CVT,1.6,L,10-15W,1,1,1,1,2,1,93.0,4,154.0,4631.0,1760.0,1503.0,1650.0,1203.0,5,2700.0,1540.0,1540.0,2017,9,8.412173328399659
3194,354068,0.0,692,3,2,1,5,0,CVT,1.6,L,10-15W,1,1,1,1,2,1,93.0,4,154.0,4631.0,1760.0,1503.0,1670.0,1255.0,5,2700.0,1540.0,1540.0,2017,9,7.164222155213356
3195,354068,0.0,692,3,2,1,5,0,CVT,1.6,L,10-15W,1,1,1,3,2,1,93.0,4,154.0,4610.0,1760.0,1495.0,1660.0,1237.0,5,2700.0,1540.0,1540.0,2017,9,10.551835260391236
3196,354068,0.0,692,3,2,1,5,0,CVT,1.8,L,10-15W,1,1,1,1,2,1,102.0,4,174.0,4610.0,1760.0,1495.0,1710.0,1271.0,5,2700.0,1540.0,1540.0,2017,9,0.07425636917352678
3197,354068,0.0,692,3,2,1,5,0,CVT,1.8,L,10-15W,1,1,1,1,2,1,102.0,4,174.0,4631.0,1760.0,1503.0,1700.0,1270.0,5,2700.0,1530.0,1530.0,2017,9,0.26515062935650346
3198,354068,0.0,692,3,2,1,5,0,CVT,1.8,L,10-15W,1,1,1,3,2,1,102.0,4,174.0,4610.0,1760.0,1495.0,1710.0,1246.0,5,2700.0,1540.0,1540.0,2017,9,0.008422619104385376
3199,354068,0.0,692,3,2,1,5,0,CVT,1.8,L,10-15W,1,1,1,3,2,1,102.0,4,174.0,4610.0,1760.0,1495.0,1710.0,1271.0,5,2700.0,1540.0,1540.0,2017,9,0.0030000001192092896
3200,354068,0.0,692,3,2,1,5,0,CVT,1.8,L,10-15W,1,1,1,3,2,1,102.0,4,174.0,4610.0,1760.0,1495.0,1710.0,1288.0,5,2700.0,1530.0,1530.0,2017,9,0.001875
3201,354068,0.0,692,3,2,1,5,0,CVT,2.0,L,10-15W,1,1,1,3,2,1,105.0,4,189.0,4665.0,1700.0,1510.0,1715.0,1280.0,5,2700.0,1475.0,1480.0,2017,9,0.08653582811355591
3202,354068,0.0,692,3,2,1,5,4,AT,1.6,L,10-15W,1,1,1,1,2,1,86.0,4,153.0,4665.0,1700.0,1505.0,1660.0,1220.0,5,2700.0,1480.0,1485.0,2017,9,0.8538446629047394
3203,354068,0.0,692,3,2,1,5,4,AT,1.6,L,10-15W,1,1,1,3,2,1,86.0,4,153.0,4665.0,1700.0,1505.0,1660.0,1200.0,5,2700.0,1480.0,1485.0,2017,9,0.8052534008026123
3204,354068,0.0,692,3,2,1,5,4,AT,1.6,L,10-15W,1,1,1,3,2,1,86.0,4,153.0,4665.0,1700.0,1505.0,1660.0,1220.0,5,2700.0,1480.0,1485.0,2017,9,0.16303614139556885
3205,354068,0.0,692,3,2,1,5,4,AT,1.6,L,10-15W,1,1,1,3,2,1,86.0,4,153.0,4665.0,1700.0,1510.0,1660.0,1220.0,5,2700.0,1475.0,1480.0,2017,9,0.4078242799639702
3206,354068,0.0,692,3,2,1,5,5,MT,1.6,L,10-15W,1,1,1,1,2,1,93.0,4,154.0,4610.0,1760.0,1495.0,1640.0,1217.0,5,2700.0,1540.0,1540.0,2017,9,0.8474691915512085
3207,354068,0.0,692,3,2,1,5,5,MT,1.6,L,10-15W,1,1,1,3,2,1,86.0,4,153.0,4665.0,1700.0,1505.0,1660.0,1180.0,5,2700.0,1480.0,1485.0,2017,9,2.704971046447754
3208,354068,0.0,692,3,2,1,5,5,MT,1.6,L,10-15W,1,1,1,3,2,1,86.0,4,153.0,4665.0,1700.0,1510.0,1660.0,1180.0,5,2700.0,1475.0,1480.0,2017,9,0.7698747062683106
3209,354068,0.0,692,3,2,1,5,5,MT,1.6,L,10-15W,1,1,1,3,2,1,93.0,4,154.0,4610.0,1760.0,1495.0,1630.0,1208.0,5,2700.0,1540.0,1540.0,2017,9,0.029505695104599
3210,354068,0.0,692,3,2,1,5,5,MT,1.6,L,10-15W,1,1,1,3,2,1,93.0,4,154.0,4610.0,1760.0,1495.0,1640.0,1217.0,5,2700.0,1540.0,1540.0,2017,9,1.9098724746704099
3211,354068,0.0,692,3,2,1,5,6,MT,1.8,L,10-15W,1,1,1,3,2,1,102.0,4,174.0,4610.0,1760.0,1495.0,1685.0,1239.0,5,2700.0,1540.0,1540.0,2017,9,0.02607586570084095
3212,354068,0.0,692,3,2,1,5,6,MT,1.8,L,10-15W,1,1,1,3,2,1,102.0,4,174.0,4610.0,1760.0,1495.0,1685.0,1264.0,5,2700.0,1540.0,1540.0,2017,9,0.047578055113554
3730,436105,24.0,836,3,2,2,3,7,DCT,1.6,T,15-20W,1,1,1,1,2,1,128.7,4,265.0,4710.0,1820.0,1470.0,1900.0,1479.0,5,2770.0,1579.0,1589.0,2017,9,11.698232428729535
3731,436105,431.0,836,3,2,2,3,6,AT,1.8,L,15-20W,1,1,1,1,2,1,105.0,4,176.0,4710.0,1820.0,1470.0,1860.0,1435.0,5,2770.0,1579.0,1589.0,2017,9,212.26228344917297
3732,436105,0.0,836,3,2,2,3,6,AT,1.8,L,15-20W,1,1,1,1,2,1,105.0,4,176.0,4710.0,1820.0,1470.0,1840.0,1378.0,5,2770.0,1579.0,1589.0,2017,9,13.241110684871671
3733,436105,0.0,836,3,2,2,3,6,AT,1.8,L,15-20W,1,1,1,1,2,1,105.0,4,176.0,4710.0,1820.0,1470.0,1860.0,1441.0,5,2770.0,1579.0,1589.0,2017,9,155.8863232421875
3734,436105,0.0,836,3,2,2,3,6,AT,1.8,L,15-20W,1,1,1,3,2,1,105.0,4,176.0,4710.0,1820.0,1470.0,1840.0,1378.0,5,2770.0,1579.0,1589.0,2017,9,2.3872697448730467
3735,436105,0.0,836,3,2,2,3,6,AT,1.8,L,15-20W,1,1,1,3,2,1,105.0,4,176.0,4710.0,1820.0,1470.0,1860.0,1441.0,5,2770.0,1579.0,1589.0,2017,9,8.64515465259552
3736,436105,0.0,836,3,2,2,3,6,AT,2.0,L,15-20W,1,1,1,3,2,1,114.0,4,192.0,4710.0,1820.0,1470.0,1900.0,1441.0,5,2770.0,1579.0,1589.0,2017,9,0.0267001211643219
3737,436105,0.0,836,3,2,2,3,6,MT,1.8,L,15-20W,1,1,1,1,2,1,105.0,4,176.0,4710.0,1820.0,1470.0,1780.0,1367.0,5,2770.0,1579.0,1589.0,2017,9,0.055574176013469694
3738,436105,0.0,836,3,2,2,3,6,MT,1.8,L,15-20W,1,1,1,1,2,1,105.0,4,176.0,4710.0,1820.0,1470.0,1820.0,1364.0,5,2770.0,1579.0,1589.0,2017,9,0.030131539404392237
3739,436105,0.0,836,3,2,2,3,6,MT,1.8,L,15-20W,1,1,1,3,2,1,105.0,4,176.0,4710.0,1820.0,1470.0,1820.0,1364.0,5,2770.0,1579.0,1589.0,2017,9,0.09409045174717903
3740,436105,0.0,836,3,2,2,3,7,DCT,1.6,T,15-20W,1,1,1,1,2,1,128.7,4,265.0,4710.0,1820.0,1470.0,1900.0,1495.0,5,2770.0,1567.0,1577.0,2017,9,24.28042847156525
3807,510309,36.0,953,2,1,2,4,9,AT,2.0,T,35-50W,3,1,1,1,2,2,180.0,4,370.0,4661.0,1898.0,1664.0,2405.0,1890.0,5,2873.0,1617.0,1613.0,2017,9,17.487521982192995
3808,510309,21.0,953,2,1,2,4,9,AT,2.0,T,35-50W,3,1,1,1,2,2,135.0,4,300.0,4661.0,1898.0,1664.0,2315.0,1850.0,5,2873.0,1617.0,1613.0,2017,9,28.09230170249939
3809,510309,114.0,953,2,1,2,4,9,AT,2.0,T,35-50W,3,1,1,1,2,2,155.0,4,350.0,4661.0,1898.0,1664.0,2360.0,1860.0,5,2873.0,1617.0,1613.0,2017,9,104.69505167007445
3900,245609,22.0,750,2,2,1,4,6,AT,1.6,L,15-20W,1,1,1,1,2,1,81.0,4,155.0,4348.0,1807.0,1574.0,1780.0,1320.0,5,2680.0,1549.0,1521.0,2017,9,28.89661093711853
3901,245609,77.0,750,2,2,1,4,7,DCT,1.4,T,15-20W,1,1,1,1,2,1,96.0,4,225.0,4348.0,1807.0,1574.0,1880.0,1425.0,5,2680.0,1549.0,1521.0,2017,9,82.45770694732666
3902,245609,0.0,750,2,2,1,4,5,MT,1.4,T,15-20W,1,1,1,1,2,1,96.0,4,225.0,4348.0,1807.0,1574.0,1850.0,1395.0,5,2680.0,1549.0,1521.0,2017,9,3.5323118239641182
3903,245609,0.0,750,2,2,1,4,5,MT,1.6,L,15-20W,1,1,1,1,2,1,81.0,4,155.0,4348.0,1807.0,1574.0,1750.0,1285.0,5,2680.0,1549.0,1521.0,2017,9,2.33136355549097
3904,245609,0.0,750,2,2,1,4,7,DCT,1.4,T,15-20W,1,1,1,1,2,1,110.0,4,250.0,4348.0,1807.0,1574.0,1885.0,1430.0,5,2680.0,1549.0,1521.0,2017,9,10.670389235019684
5771,914348,9.0,750,2,2,3,4,6,AT,1.6,L,10-15W,1,1,1,1,2,1,81.0,4,155.0,3987.0,1705.0,1486.0,1545.0,1135.0,5,2470.0,1463.0,1456.0,2017,9,11.570572823286055
5772,914348,353.0,750,2,2,3,4,6,AT,1.4,L,10-15W,1,1,1,1,2,1,66.0,4,132.0,3970.0,1682.0,1462.0,1590.0,1110.0,5,2470.0,1463.0,1456.0,2017,9,276.42516757965086
5773,914348,186.0,750,2,2,3,4,6,AT,1.6,L,10-15W,1,1,1,1,2,1,81.0,4,155.0,3970.0,1682.0,1462.0,1600.0,1120.0,5,2470.0,1463.0,1456.0,2017,9,190.27979175567623
5774,914348,102.0,750,2,2,3,4,5,MT,1.4,L,10-15W,1,1,1,1,2,1,66.0,4,132.0,3970.0,1682.0,1462.0,1540.0,1060.0,5,2470.0,1463.0,1456.0,2017,9,77.82855141639709
5775,914348,0.0,750,2,2,3,4,5,MT,1.4,L,10-15W,1,1,1,1,2,1,63.0,4,132.0,3970.0,1682.0,1462.0,1572.0,1092.0,5,2470.0,1463.0,1456.0,2017,9,0.6242025104165078
5776,914348,0.0,750,2,2,3,4,5,MT,1.4,L,10-15W,1,1,1,3,2,1,63.0,4,132.0,3970.0,1682.0,1462.0,1572.0,1092.0,5,2470.0,1463.0,1456.0,2017,9,1.0623963856697085
5777,914348,0.0,750,2,2,3,4,5,MT,1.6,L,10-15W,1,1,1,1,2,1,81.0,4,155.0,3970.0,1682.0,1462.0,1555.0,1075.0,5,2470.0,1463.0,1456.0,2017,9,2.1672012758255006
5778,914348,0.0,750,2,2,3,4,5,MT,1.6,L,10-15W,1,1,1,1,2,1,81.0,4,155.0,3987.0,1705.0,1486.0,1510.0,1100.0,5,2470.0,1463.0,1456.0,2017,9,1.2921093636751175
5779,914348,0.0,750,2,2,3,4,5,MT,1.6,L,10-15W,1,1,1,3,2,1,77.0,4,155.0,3970.0,1682.0,1462.0,1570.0,1090.0,5,2470.0,1463.0,1456.0,2017,9,0.010373831987380979
5780,914348,0.0,750,2,2,3,4,5,MT,1.6,L,10-15W,1,1,1,3,2,1,77.0,4,155.0,3970.0,1682.0,1462.0,1572.0,1092.0,5,2470.0,1463.0,1456.0,2017,9,0.039873832464218134
5781,914348,0.0,750,2,2,3,4,5,MT,1.6,L,10-15W,1,1,1,3,2,1,77.0,4,155.0,3970.0,1682.0,1462.0,1575.0,1095.0,5,2470.0,1463.0,1456.0,2017,9,0.012395108640193941
5782,914348,0.0,750,2,2,3,4,5,MT,1.6,L,10-15W,1,1,1,3,2,1,77.0,4,155.0,3987.0,1705.0,1486.0,1515.0,1105.0,5,2470.0,1463.0,1456.0,2017,9,0.011086956262588502
5783,914348,0.0,750,2,2,3,4,6,AT,1.4,L,10-15W,1,1,1,1,2,1,66.0,4,132.0,3987.0,1705.0,1486.0,1510.0,1100.0,5,2470.0,1463.0,1456.0,2017,9,1.0915004435181617
5784,914348,0.0,750,2,2,3,4,6,AT,1.4,L,10-15W,1,1,1,3,2,1,63.0,4,132.0,3970.0,1682.0,1462.0,1597.0,1122.0,5,2470.0,1463.0,1456.0,2017,9,0.38687500692904
5785,914348,0.0,750,2,2,3,4,6,AT,1.4,L,10-15W,1,1,1,3,2,1,63.0,4,132.0,3970.0,1682.0,1462.0,1602.0,1122.0,5,2470.0,1463.0,1456.0,2017,9,0.3980444744974375
5786,914348,0.0,750,2,2,3,4,6,AT,1.6,L,10-15W,1,1,1,1,2,1,77.0,4,155.0,3970.0,1682.0,1462.0,1610.0,1130.0,5,2470.0,1463.0,1456.0,2017,9,0.265834935605526
5787,914348,0.0,750,2,2,3,4,6,AT,1.6,L,10-15W,1,1,1,1,2,1,77.0,4,155.0,3987.0,1705.0,1486.0,1555.0,1145.0,5,2470.0,1463.0,1456.0,2017,9,0.08074972525238991
5788,914348,0.0,750,2,2,3,4,6,AT,1.6,L,10-15W,1,1,1,3,2,1,77.0,4,155.0,3970.0,1682.0,1462.0,1610.0,1130.0,5,2470.0,1463.0,1456.0,2017,9,0.5124677181243896
5789,914348,0.0,750,2,2,3,4,6,AT,1.6,L,10-15W,1,1,1,3,2,1,77.0,4,155.0,3970.0,1682.0,1462.0,1610.0,1135.0,5,2470.0,1463.0,1456.0,2017,9,0.3661519241333008
5790,914348,0.0,750,2,2,3,4,6,AT,1.6,L,10-15W,1,1,1,3,2,1,77.0,4,155.0,3987.0,1705.0,1486.0,1555.0,1145.0,5,2470.0,1463.0,1456.0,2017,9,0.2780922269821167
5791,914348,0.0,750,2,2,3,4,7,DCT,1.4,T,10-15W,1,1,1,1,2,1,110.0,4,250.0,3975.0,1682.0,1487.0,1652.0,1207.0,5,2470.0,1451.0,1444.0,2017,9,0.3603497965633869
5792,914348,0.0,750,2,2,3,4,7,DCT,1.4,T,10-15W,1,1,1,3,2,1,96.0,4,220.0,3970.0,1682.0,1462.0,1660.0,1215.0,5,2470.0,1463.0,1456.0,2017,9,0.1842066979408264
5793,914348,0.0,750,3,2,3,4,5,MT,1.4,L,10-15W,1,1,1,3,2,1,63.0,4,130.0,4176.0,1650.0,1465.0,1495.0,1120.0,5,2465.0,1435.0,1425.0,2017,9,0.23972323536872864
5794,914348,0.0,750,3,2,3,4,5,MT,1.4,L,10-15W,1,1,1,3,2,1,63.0,4,130.0,4200.0,1650.0,1465.0,1514.0,1139.0,5,2460.0,1435.0,1425.0,2017,9,0.0021202882379293443
5795,914348,0.0,750,3,2,3,4,5,MT,1.6,L,10-15W,1,1,1,3,2,1,77.0,4,155.0,4176.0,1650.0,1465.0,1530.0,1155.0,5,2465.0,1435.0,1425.0,2017,9,0.0015000000596046448
5796,914348,0.0,750,3,2,3,4,6,AT,1.4,L,10-15W,1,1,1,3,2,1,63.0,4,130.0,4176.0,1650.0,1465.0,1542.0,1167.0,5,2465.0,1435.0,1425.0,2017,9,0.004090909063816071
5797,914348,0.0,750,3,2,3,4,6,AT,1.6,L,10-15W,1,1,1,3,2,1,77.0,4,155.0,4176.0,1650.0,1465.0,1560.0,1185.0,5,2465.0,1435.0,1425.0,2017,9,0.09449374914169313
7454,614059,250.0,953,3,2,2,4,9,AT,2.0,T,35-50W,2,1,1,1,2,2,135.0,4,300.0,4783.0,1810.0,1442.0,2120.0,1640.0,5,2920.0,1563.0,1545.0,2017,9,185.08990942001344
7455,614059,192.0,953,3,2,2,4,9,AT,1.6,T,35-50W,2,1,1,1,2,2,115.0,4,250.0,4783.0,1810.0,1442.0,2065.0,1600.0,5,2920.0,1563.0,1545.0,2017,9,109.61285723209382
7456,614059,86.0,953,3,2,2,4,9,AT,2.0,T,35-50W,2,1,1,1,2,2,135.0,4,300.0,4714.0,1810.0,1442.0,2055.0,1590.0,5,2840.0,1563.0,1545.0,2017,9,72.51601220130921
7457,614059,0.0,953,3,2,2,4,5,AT,1.6,T,35-50W,2,1,1,3,2,2,115.0,4,230.0,4581.0,1770.0,1448.0,1990.0,1545.0,5,2760.0,1541.0,1544.0,2017,9,0.3772178944945335
7458,614059,0.0,953,3,2,2,4,5,AT,1.8,T,35-50W,2,1,1,3,2,2,135.0,4,270.0,4581.0,1770.0,1448.0,2010.0,1630.0,5,2760.0,1541.0,1544.0,2017,9,0.0496108840405941
7459,614059,0.0,953,3,2,2,4,7,AT,1.6,T,35-50W,2,1,1,1,2,2,115.0,4,250.0,4783.0,1810.0,1442.0,2065.0,1596.0,5,2920.0,1563.0,1545.0,2017,9,35.16455667257309
7460,614059,0.0,953,3,2,2,4,7,AT,1.6,T,35-50W,2,1,1,1,2,2,115.0,4,250.0,4783.0,1810.0,1442.0,2065.0,1600.0,5,2920.0,1572.0,1538.0,2017,9,0.9335753919929266
7461,614059,0.0,953,3,2,2,4,7,AT,1.6,T,35-50W,2,1,1,1,2,2,115.0,4,250.0,4783.0,1810.0,1442.0,2065.0,1605.0,5,2920.0,1563.0,1545.0,2017,9,6.930390002727509
7462,614059,0.0,953,3,2,2,4,7,AT,1.8,T,35-50W,2,1,1,3,2,2,115.0,4,250.0,4581.0,1770.0,1448.0,2010.0,1540.0,5,2760.0,1541.0,1544.0,2017,9,0.17527961134910586
7463,614059,0.0,953,3,2,2,4,7,AT,1.8,T,35-50W,2,1,1,3,2,2,115.0,4,250.0,4581.0,1770.0,1448.0,2010.0,1545.0,5,2760.0,1541.0,1544.0,2017,9,0.17527961134910586
7464,614059,0.0,953,3,2,2,4,7,AT,1.8,T,35-50W,2,1,1,3,2,2,135.0,4,270.0,4581.0,1770.0,1448.0,2010.0,1570.0,5,2760.0,1541.0,1544.0,2017,9,0.27309527397155764
7465,614059,0.0,953,3,2,2,4,7,AT,1.8,T,35-50W,2,1,1,3,2,2,150.0,4,310.0,4581.0,1770.0,1448.0,2010.0,1570.0,5,2760.0,1541.0,1544.0,2017,9,0.12555951476097107
7466,614059,0.0,953,3,2,2,4,7,AT,1.8,T,35-50W,2,1,1,3,2,2,150.0,4,310.0,4581.0,1770.0,1448.0,2020.0,1570.0,5,2760.0,1541.0,1544.0,2017,9,0.16947255969047548
7467,614059,0.0,953,3,2,2,4,7,AT,2.0,T,35-50W,2,1,1,1,2,2,135.0,4,300.0,4714.0,1810.0,1442.0,2055.0,1577.0,5,2840.0,1563.0,1545.0,2017,9,11.071232726573944
7468,614059,0.0,953,3,2,2,4,7,AT,2.0,T,35-50W,2,1,1,1,2,2,135.0,4,300.0,4783.0,1810.0,1442.0,2120.0,1640.0,5,2920.0,1572.0,1538.0,2017,9,1.0527765011787416
7469,614059,0.0,953,3,2,2,4,7,AT,2.0,T,35-50W,2,1,1,1,2,2,135.0,4,300.0,4783.0,1810.0,1442.0,2120.0,1650.0,5,2920.0,1563.0,1545.0,2017,9,9.25494764328003
7470,614059,0.0,953,3,2,2,4,7,AT,2.0,T,35-50W,2,1,1,1,2,2,135.0,4,300.0,4783.0,1810.0,1442.0,2120.0,1658.0,5,2920.0,1563.0,1545.0,2017,9,33.234155597686765
7471,614059,0.0,953,3,2,2,4,7,AT,2.0,T,35-50W,2,1,1,1,2,2,155.0,4,350.0,4783.0,1810.0,1442.0,2140.0,1665.0,5,2920.0,1572.0,1530.0,2017,9,0.4840032637119293
7472,614059,0.0,953,3,2,2,4,7,AT,2.0,T,35-50W,2,1,1,1,2,2,180.0,4,370.0,4714.0,1810.0,1442.0,2105.0,1626.0,5,2840.0,1572.0,1530.0,2017,9,1.5320901758223773
